,company,code
1010,리젠트화재보험,001030
1011,마이크로닉스,001190
1012,만도기계,005790
1013,미우,009990
1014,바다로3호,092630
1015,반도목재,029250
1016,벽산건설,002530
1017,부산은행,005280
1018,부흥,003930
1019,산은캐피탈,008270
1020,삼도물산,002930
1021,삼양종금,014450
1022,삼익주택,005580
1023,삼화프라스틱,028950
1024,새한종금,011960
1025,서울저축은행,016560
1026,선진지주,014300
1027,스타리스,018020
1028,신광기업,001580
1029,신동방CP,004660
1030,신원제이엠씨,001160
1031,신한종금,016350
1032,신한카드,032710
1033,아시아5호,082240
1034,아이넥스,008440
1035,양우화학공업,028590
1036,우단,016260
1037,울산실업,029100
1038,장인환1호,036870
1039,중원전자,028610
1040,청구,011510
1041,코크렙1호부동산투자,067910
1042,태양이앤테크,013070
1043,태창목재공업,029140
1044,태평양제약,016570
1045,평산차업,950010
1046,플래티넘2호,034850
1047,피어리스,002130
1048,하나니켈1호,099340
1049,한국고덴시,027840
1050,한국물산,011820
1051,한국씨티은행,016830
1052,한국주택은행,027460
1053,한메NS,006150
1054,한스종금,012710
1055,한화갤러리아타임월드,027390
1056,현대푸드,114410
1057,환영철강공업,012670
1058,CJ엔터테인,049370
1059,IC코퍼레이션,080570
1060,KNS홀딩스,036760
1061,KTB더블채권1-MF,045800
1062,KTB전환형41,038760
1063,SK브로드밴드,033630
1064,교보그로쓰,035970
1065,국제엘렉트릭,053740
1066,그로웰전자,009220
1067,그로웰텔레콤,035780
1068,글로벌하이1,038770
1069,금성제관,018840
1070,남송개발,006000
1071,네스테크,037540
1072,넥스지,081970
1073,넥스콘테크,038990
1074,다임알짜1호-MF,050350
1075,단성일렉트론,085990
1076,대선조선,031990
1077,대전금고,006300
1078,더존디지털,045380
1079,동미전기,008330
1080,디에스피,016040
1081,디이시스,053200
1082,마이다스30,043040
1083,마이다스페셜,039540
1084,마이다스하이테크성장,036400
1085,마이스코,088700
1086,마인,039500
1087,미래에셋대우스팩1호,265480
1088,미래에셋드림펀드,034820
1089,미래에셋실크로드이호,035310
1090,미래코리아1,042950
1091,바이오빌,065940
1092,바이오시스,035960
1093,벤처코스닥,038280
1094,보광티에스,066690
1095,부산저축은행,007830
1096,브이에스에스티,035400
1097,삼성투신증권,022060
1098,삼성프라임성장형뮤추,035530
1099,삼주건설,025150
1100,세계투어,047600
1101,세림아이텍,033040
1102,세미텍,081220
1103,세아메탈,033020
1104,세원텔레콤,036910
1105,스타맥스,017050
1106,스톰이앤에프,043680
1107,신중앙금고,007990
1108,신한종합비료,019230
1109,쓰리디월드,065340
1110,씨앤케이인터,039530
1111,아이디에스,078780
1112,알바트로스3,036780
1113,에듀언스,009010
1114,에버리소스,020070
1115,에스이아이주,035940
1116,에스티씨라이프,026220
1117,에이스앤파트너스,032930
1118,에피밸리,068630
1119,엔에스브이,095300
1120,엔에이치SL스팩,207720
1121,엔플렉스,040130
1122,엘리트1호,037670
1123,엘앤씨피,015390
1124,엘티삼보,011870
1125,와이즈파워,040670
1126,월드그랜드1,038020
1127,윌텍정보통신,039390
1128,유에이블,071530
1129,유퍼트,060670
1130,이수세라믹,032180
1131,일공공일안경,032030
1132,자강,036790
1133,제너비오믹스,017010
1134,케이이엔지,077960
1135,코어비트,056850
1136,코웰이홀딩스,900020
1137,콜마파마,038710
1138,쿠첸,225650
1139,태영텔스타,060840
1140,테라리소스,053320
1141,토자이홀딩스,037700
1142,투미비티,058900
1143,파이오니어,035030
1144,퓨쳐비젼,042570
1145,프로비타,014420
1146,플래티넘이천,039520
1147,하나에프앤아이,025080
1148,하우리,049130
1149,현대멀티캡,035910
1150,협화,007840
1151,화림모드,045920
1152,본느,242420
1153,세신버팔로,110660
1154,솔트웍스,222520
1155,알로이스,271400
1156,유쎌,252370
1157,자원메디칼,181980
1158,정다운,224090
1159,카이노스메드,220250
1160,케미메디,205290
1161,케이엠제약,237720
1162,포인트엔지니어링,176560
1163,BGF리테일,282330
1164,BNK금융지주,138930
1165,CJ제일제당,097950
1166,DRB동일,004840
1167,GS건설,006360
1168,HDC아이콘트롤스,039570
1169,KPX케미칼,025000
1170,KPX홀딩스,092230
1171,KTis,058860
1172,LG상사,001120
1173,MH에탄올,023150
1174,SBS,034120
1175,SBS미디어홀딩스,101060
1176,SK텔레콤,017670
1177,강원랜드,035250
